iter	Passed	Remaining
0	137	1378683
1	287	1436279
2	411	1372823
3	559	1397944
4	689	1377787
5	823	1372035
6	956	1366118
7	1101	1375962
8	1227	1362910
9	1349	1348202
10	1493	1356177
11	1638	1363764
12	1768	1358239
13	1918	1368207
14	2066	1375464
15	2195	1369699
16	2338	1373162
17	2472	1371148
18	2620	1376355
19	2747	1370813
20	2880	1368758
21	3024	1371963
22	3170	1375330
23	3317	1379075
24	3468	1383802
25	3590	1377411
26	3720	1374194
27	3847	1370288
28	3981	1368941
29	4122	1369982
30	4271	1373718
31	4415	1375528
32	4560	1377501
33	4705	1379360
34	4834	1376331
35	4979	1378349
36	5123	1379577
37	5269	1381447
38	5396	1378311
39	5538	1378982
40	5669	1377081
41	5796	1374255
42	5923	1371740
43	6064	1372123
44	6207	1373136
45	6359	1376105
46	6509	1378434
47	6655	1379918
48	6804	1381804
49	6956	1384435
50	7101	1385254
51	7244	1385842
52	7383	1385738
53	7528	1386550
54	7651	1383499
55	7785	1382430
56	7919	1381435
57	8069	1383185
58	8213	1383883
59	8358	1384681
60	8491	1383476
61	8616	1381132
62	8761	1382002
63	8891	1380463
64	9023	1379173
65	9164	1379369
66	9292	1377607
67	9435	1378151
68	9593	1380761
69	9736	1381156
70	9861	1379019
71	9994	1378113
72	10138	1378635
73	10268	1377322
74	10410	1377592
75	10534	1375572
76	10674	1375567
77	10819	1376256
78	10954	1375705
79	11094	1375682
80	11237	1376072
81	11382	1376730
82	11539	1378703
83	11698	1380962
84	11864	1383983
85	12017	1385391
86	12166	1386228
87	12335	1389416
88	12499	1391923
89	12666	1394685
90	12830	1397116
91	13004	1400511
92	13163	1402251
93	13328	1404603
94	13475	1405001
95	13647	1408007
96	13810	1409979
97	13963	1410872
98	14123	1412470
99	14291	1414838
100	14467	1417916
101	14626	1419298
102	14805	1422628
103	14960	1423558
104	15127	1425596
105	15272	1425566
106	15441	1427692
107	15605	1429376
108	15777	1431727
109	15960	1435018
110	16125	1436629
111	16290	1438195
112	16455	1439814
113	16625	1441757
114	16771	1441632
115	16923	1442037
116	17073	1442238
117	17245	1444253
118	17417	1446270
119	17583	1447748
120	17747	1449027
121	17915	1450540
122	18061	1450390
123	18204	1449902
124	18366	1450956
125	18531	1452259
126	18695	1453406
127	18868	1455201
