iter	Logloss
0	0.6607140282
1	0.6311933491
2	0.6037597175
3	0.5776945888
4	0.5544853123
5	0.5328938796
6	0.5129337574
7	0.4946801239
8	0.4777779864
9	0.4618373062
10	0.4473516678
11	0.4339095706
12	0.4213280975
13	0.4096028008
14	0.3981556689
15	0.3879979433
16	0.3789194546
17	0.3704934993
18	0.3627930224
19	0.3555409768
20	0.3487466588
21	0.3423486632
22	0.3367096919
23	0.3305676151
24	0.325247783
25	0.3207635049
26	0.3159862195
27	0.3114854728
28	0.3078428902
29	0.3043793772
30	0.3013103222
31	0.2983134731
32	0.295056
33	0.2924772119
34	0.2890477944
35	0.2862905284
36	0.2837382909
37	0.2818410533
38	0.2794306923
39	0.2773127104
40	0.2757879119
41	0.2738868593
42	0.2721399442
43	0.2705090114
44	0.2691160055
45	0.2675515929
46	0.2658611146
47	0.2644959194
48	0.2632141062
49	0.2620271012
50	0.261063273
51	0.2599547994
52	0.2591907488
53	0.2580861486
54	0.2571203041
55	0.2562694382
56	0.2555099898
57	0.2545492863
58	0.2536655833
59	0.2528096846
60	0.2521357439
61	0.251420723
62	0.250418851
63	0.2498117438
64	0.2492161557
65	0.2485723949
66	0.2480105167
67	0.2475775707
68	0.2470198934
69	0.246451805
70	0.2460333745
71	0.2455794819
72	0.2449940733
73	0.2444563512
74	0.2438467161
75	0.2435353424
76	0.243288365
77	0.2426246853
78	0.2422012978
79	0.2416075448
80	0.2412066189
81	0.2406918549
82	0.2403798821
83	0.2399587073
84	0.2395920955
85	0.2392626719
86	0.23897122
87	0.2385951524
88	0.2382637719
89	0.2379440056
90	0.2376247088
91	0.2371739017
92	0.2367706916
93	0.236490294
94	0.2361705212
95	0.2358633363
96	0.235683518
97	0.2353738371
98	0.2351137326
99	0.2347764425
