iter	Passed	Remaining
0	128	12714
1	267	13119
2	411	13313
3	560	13451
4	692	13153
5	821	12876
6	966	12843
7	1114	12813
8	1245	12592
9	1390	12511
10	1535	12424
11	1681	12327
12	1820	12184
13	1964	12068
14	2119	12012
15	2265	11896
16	2395	11697
17	2541	11579
18	2690	11470
19	2833	11332
20	2977	11202
21	3102	11000
22	3246	10867
23	3389	10732
24	3519	10558
25	3660	10419
26	3819	10326
27	3971	10213
28	4124	10098
29	4265	9953
30	4388	9767
31	4521	9607
32	4662	9467
33	4807	9332
34	4948	9190
35	5074	9021
36	5201	8856
37	5344	8720
38	5474	8563
39	5597	8395
40	5742	8263
41	5885	8127
42	6031	7995
43	6179	7864
44	6324	7729
45	6468	7593
46	6610	7454
47	6756	7319
48	6910	7192
49	7035	7035
50	7167	6886
51	7310	6748
52	7459	6614
53	7603	6476
54	7747	6338
55	7871	6184
56	7996	6032
57	8134	5890
58	8298	5766
59	8423	5615
60	8568	5478
61	8713	5340
62	8840	5192
63	8987	5055
64	9136	4919
65	9276	4778
66	9423	4641
67	9569	4503
68	9696	4356
69	9838	4216
70	9975	4074
71	10154	3949
72	10302	3810
73	10502	3690
74	10692	3564
75	10892	3439
76	11076	3308
77	11274	3179
78	11449	3043
79	11644	2911
80	11844	2778
81	12098	2655
82	12291	2517
83	12524	2385
84	12711	2243
85	12940	2106
86	13180	1969
87	13356	1821
88	13516	1670
89	13649	1516
90	13796	1364
91	13943	1212
92	14091	1060
93	14228	908
94	14381	756
95	14522	605
96	14675	453
97	14805	302
98	14939	150
99	15099	0
